SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	 20
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989 10 30  6  0	   0.000000    	  -44.40720    	  -48.03438    	  0.9442040E-01	 -0.9782894E-02	   19.87413    	  -8.011395    	   9.443469    	  -24.20418    	   42.28737    	   0.000000    	   0.000000    	   23.32744    	   0.000000    	   0.000000    	 -0.1211754    	   29.76267    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1414959E-02
 1989 11  6  6  0	   0.000000    	  -45.72886    	  -48.90789    	  0.9640633E-01	 -0.9782894E-02	   19.87413    	  -8.183722    	   9.667114    	  -24.02111    	   43.26594    	   0.000000    	   0.000000    	   23.76624    	   0.000000    	   0.000000    	 -0.1245320    	   30.30746    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1419826E-02
 1989 11 13  6  0	   0.000000    	  -46.86288    	  -49.61136    	  0.9852894E-01	 -0.9782894E-02	   19.87413    	  -8.355986    	   9.890648    	  -24.22648    	   44.24931    	   0.000000    	   0.000000    	   24.22892    	   0.000000    	   0.000000    	 -0.1278729    	   30.85423    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1412739E-02
 1989 11 20  6  0	   0.000000    	  -46.44211    	  -49.62885    	  0.1005924    	 -0.9782894E-02	   19.87413    	  -8.527940    	   10.11203    	  -26.45220    	   45.22552    	   0.000000    	   0.000000    	   24.53714    	   0.000000    	   0.000000    	 -0.1310837    	   31.34394    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1427425E-02
 1989 11 27  6  0	   0.000000    	  -46.36684    	  -50.21280    	  0.1023825    	 -0.9782894E-02	   19.87413    	  -8.700297    	   10.33221    	  -27.61086    	   46.20889    	   0.000000    	   0.000000    	   24.73352    	   0.000000    	   0.000000    	 -0.1341664    	   31.78503    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1431182E-02
 1989 12  4  6  0	   0.000000    	  -47.09885    	  -50.61464    	  0.1041378    	 -0.9782894E-02	   19.87413    	  -8.872229    	   10.55262    	  -28.19730    	   47.18511    	   0.000000    	   0.000000    	   24.96161    	   0.000000    	   0.000000    	 -0.1372640    	   32.25383    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1421277E-02
 1989 12 11  6  0	   0.000000    	  -46.80571    	  -50.73343    	  0.1056372    	 -0.9782894E-02	   19.87413    	  -9.043615    	   10.77299    	  -29.95958    	   48.16848    	   0.000000    	   0.000000    	   25.10236    	   0.000000    	   0.000000    	 -0.1401857    	   32.67011    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1418972E-02
 1989 12 18  6  0	   0.000000    	  -52.29669    	  -52.23312    	  0.1070352    	 -0.9782894E-02	   19.87413    	  -9.214801    	   10.99329    	  -24.55770    	   49.14587    	   0.000000    	   0.000000    	   25.27493    	   0.000000    	   0.000000    	 -0.1429658    	   33.06120    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1416325E-02
 1989 12 25  6  0	   0.000000    	  -93.75064    	  -58.57611    	  0.1146378    	 -0.3929212E-01	   19.87512    	  -9.398902    	   11.22966    	   17.03423    	   50.12806    	   0.000000    	   0.000000    	   28.98809    	   0.000000    	   0.000000    	 -0.1468929    	   34.54343    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1427083E-02
 1990  1  1  6  0	   0.000000    	  -95.41769    	  -58.76365    	  0.1191459    	 -0.6777841E-01	   19.87584    	  -9.585182    	   11.46727    	   13.31147    	   51.10546    	   0.000000    	   0.000000    	   32.02798    	   0.000000    	   0.000000    	 -0.1507981    	   36.08010    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.2198429E-02
