WSAID	PLANTID	start	end
1085	116352	1978	2019
1086	116356	1978	2019
1087	116354	1978	2019
1088	119126	1978	2019
1089	115760	1978	2019
1090	116353	1978	2019
1090	116355	1978	2019
1091	115757	1978	2019
1091	115758	1978	2019
1091	115759	1978	2019
1092	115762	1978	2019
1093	115761	1978	2019
1094	118044	1978	2019
1095	118049	1988	2019
1095	118053	1988	2019
1096	118048	1978	2019
1097	118055	1978	2019
1098	116914	1978	2019
1098	116922	1978	2019
1098	116925	1978	2019
1099	118043	1978	2019
1100	118050	1978	2019
1100	118051	1978	2019
1100	118052	1978	2019
1101	118045	1978	2019
1102	118041	1978	2019
1103	116489	1978	2019
1104	116490	1978	2019
1105	116488	1978	2019
1106	116918	1978	2019
1106	116924	1978	2019
1107	73936	1978	2019
1108	116312	1978	2019
1109	116311	2002	2019
1109	116314	2002	2019
1110	116310	1978	2019
1111	115942	1999	2019
1111	115959	1999	2019
1111	116071	1999	2019
1111	116304	1999	2019
1111	116305	1999	2019
1111	116306	1999	2019
1111	116307	1999	2019
1111	116317	1999	2019
1111	116324	1999	2019
1111	135315	1999	2019
1112	118634	1978	2019
1112	119406	1978	2019
1112	119407	1978	2019
1112	119408	1978	2019
1112	119409	1978	2019
1113	116031	1978	2019
1113	116032	1978	2019
1113	116033	1978	2019
1114	116030	1978	2019
1115	116036	1978	2019
1116	116034	1978	2019
1117	116026	1978	2019
1117	116027	1978	2019
1117	116028	1978	2019
1118	119420	1978	2019
1119	119416	2004	2019
1119	119417	2004	2019
1120	116035	1978	2019
1121	119411	1978	2019
1122	118633	1978	2019
1123	119419	1978	2019
1124	119410	1978	2019
1124	119412	1978	2019
1125	119418	1978	2019
1126	119421	1978	2019
1127	115945	1978	2019
1128	116076	1978	2019
1129	116079	1978	2019
1130	118632	1978	2019
1131	118631	1978	2019
1132	115947	2005	2019
1132	115948	2005	2019
1132	115961	2005	2019
1133	116315	1978	2019
1133	116316	1978	2019
1134	116075	1978	2019
1135	116308	1978	2019
1135	116309	1978	2019
1135	116313	1978	2019
1136	116072	2010	2019
1136	116073	2010	2019
1136	116078	2010	2019
1136	116321	2010	2019
1137	116320	1978	2019
1138	116319	1978	2019
1139	116318	1978	2019
1140	116074	1978	2019
1140	116325	1978	2019
1141	116326	1978	2019
1142	116068	1978	2019
1143	116323	1978	2019
1144	116322	1978	2019
1145	119413	1978	2019
1146	119415	1978	2019
1147	119414	1978	2019
1148	116919	1978	2019
1148	116920	1978	2019
1149	116923	1978	2019
1150	81668	1978	2019
1150	81676	1978	2019
1150	81679	1978	2019
1151	81670	1978	1997
1152	81781	1978	2019
1153	81777	1978	2019
1154	81779	1978	2019
1155	81184	1978	2019
1156	81190	1978	2019
1156	81200	1978	2019
1157	81189	1978	2019
1158	81185	2007	2019
1158	81186	2007	2019
1158	81194	2007	2019
1159	81780	1978	2019
1160	81778	1978	2019
1161	81183	1978	2019
1162	81198	1978	2019
1163	81192	1991	2019
1163	81193	1991	2019
1164	81197	1978	2019
1165	81196	1978	2019
1166	81188	2002	2019
1166	81195	2002	2019
1166	81199	2002	2019
1167	81187	1978	2019
1168	172502	1978	2019
1169	81457	1978	2019
1170	81458	1978	2019
1170	81459	1978	2019
1170	81461	1978	2019
1170	81462	1978	2019
1171	81460	1978	2019
1172	81357	1978	2019
1173	82757	1978	2019
1174	81349	1978	2019
1175	81350	1978	2019
1176	81353	1978	2019
1177	81352	1978	2019
1177	81354	1978	2019
1178	80932	1978	2019
1179	80929	1978	2019
1180	80934	1978	2019
1181	80931	1978	2019
1182	80930	1978	2019
1183	80935	1978	2019
1184	80933	1978	2019
1185	80920	2012	2019
1185	80921	2012	2019
1185	80922	2012	2019
1185	80923	2012	2019
1185	80925	2012	2019
1185	80926	2012	2019
1185	80928	2012	2019
1186	80927	1978	2019
1187	81351	1978	2019
1188	80924	1978	2019
1189	81356	1978	2019
1190	82751	1978	2019
1191	81355	2005	2019
1191	83013	2005	2019
1192	82754	1978	2019
